dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,random_forest,7,none|ros|smote_enn,ros,0.9899488304093568,0.9899488304093568,0.0,True,True,0.20583232685540795,0.15877683720748895,random_forest
glass1,random_forest,7,ros,none,0.8572169916228037,0.8335967090576166,0.023620282565187112,False,True,0.1785714285714286,0.14285714285714288,random_forest
haberman,random_forest,7,smote_enn,smote_tomek,0.655656819221685,0.5701550597006861,0.08550175952099881,False,False,-0.6785714285714287,-0.5238095238095238,random_forest
iris0,random_forest,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,random_forest
page-blocks0,random_forest,7,none,smote_tomek,0.9345174973488866,0.9258422617863128,0.008675235562573769,False,True,0.6785714285714287,0.5238095238095238,random_forest
pima,random_forest,7,smote_enn,smote_tomek,0.7431733533861193,0.7390417940876657,0.0041315592984536575,False,False,0.0,-0.04761904761904762,random_forest
segment0,random_forest,7,adasyn,none,0.9964641357967948,0.9946556506999986,0.0018084850967962085,False,False,0.4076871241636057,0.4114755998989118,random_forest
shuttle-c0-vs-c4,random_forest,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,random_forest
vehicle2,random_forest,7,none,none,0.9860331250103184,0.9860331250103184,0.0,True,True,0.9285714285714288,0.8095238095238096,random_forest
vowel0,random_forest,7,none,none,0.9125866035090584,0.9125866035090584,0.0,True,True,0.5405624776173354,0.39036002917941326,random_forest
wisconsin,random_forest,7,smote_tomek,ros,0.9760671661141908,0.9680009744944807,0.008066191619710006,False,True,0.34235623582431246,0.29277002188455997,random_forest
yeast1,random_forest,7,smote_tomek,smote_enn,0.7315821634877828,0.692720050732675,0.03886211275510787,False,True,-0.1785714285714286,-0.14285714285714288,random_forest
