dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,decision_tree,7,smote_enn,none,0.9899488304093568,0.9702058504875406,0.019742979921816173,False,False,-0.32732683535398865,-0.2503130871608794,xgboost
glass1,decision_tree,7,none,smote_enn,0.7609506833036244,0.6935513673318552,0.06739931597176918,False,True,-0.03603749850782236,0.09759000729485331,xgboost
haberman,decision_tree,7,smote_enn,smote_enn,0.6397058823529411,0.6397058823529411,0.0,True,True,0.39285714285714296,0.33333333333333337,xgboost
iris0,decision_tree,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,xgboost
page-blocks0,decision_tree,7,none,adasyn,0.9124443797226672,0.897287077342479,0.015157302380188198,False,True,-0.10714285714285716,-0.04761904761904762,xgboost
pima,decision_tree,7,smote_enn,none,0.7012961643040045,0.6715751896474788,0.02972097465652579,False,True,0.5,0.33333333333333337,xgboost
segment0,decision_tree,7,adasyn,none,0.989338507021434,0.9849535772068706,0.004384929814563399,False,True,0.2522624895547565,0.19518001458970663,xgboost
shuttle-c0-vs-c4,decision_tree,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,xgboost
vehicle2,decision_tree,7,none,smote_enn,0.9507111489807956,0.9317872737665,0.018923875214295616,False,False,-0.21428571428571433,-0.33333333333333337,xgboost
vowel0,decision_tree,7,smote_enn,none,0.955700761934938,0.949583476852029,0.006117285082908985,False,True,0.2522624895547565,0.19518001458970663,xgboost
wisconsin,decision_tree,7,none,smote_enn,0.953291215956496,0.9469512065958534,0.006340009360642607,False,True,0.41443123283995714,0.19518001458970663,xgboost
yeast1,decision_tree,7,none,smote_enn,0.6783822319268029,0.6692266519486466,0.009155579978156303,False,True,0.7567874686642696,0.5855400437691199,xgboost
