dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,decision_tree,7,smote_enn,none,0.9899488304093568,0.9702058504875406,0.019742979921816173,False,False,,,random_forest
glass1,decision_tree,7,none,smote_enn,0.7609506833036244,0.6935513673318552,0.06739931597176918,False,True,,,random_forest
haberman,decision_tree,7,smote_enn,none,0.6397058823529411,0.5658193101802125,0.07388657217272865,False,True,,,random_forest
iris0,decision_tree,6,none|ros|rus|smote|smote_tomek|smote_enn,smote_enn,1.0,1.0,0.0,True,True,,,random_forest
page-blocks0,decision_tree,7,none,adasyn,0.9124443797226672,0.897287077342479,0.015157302380188198,False,True,,,random_forest
pima,decision_tree,7,smote_enn,smote_enn,0.7012961643040045,0.7012961643040045,0.0,True,True,,,random_forest
segment0,decision_tree,7,adasyn,none,0.989338507021434,0.9849535772068706,0.004384929814563399,False,False,,,random_forest
shuttle-c0-vs-c4,decision_tree,6,none|ros|rus|smote|smote_tomek|smote_enn,smote_enn,1.0,1.0,0.0,True,True,,,random_forest
vehicle2,decision_tree,7,none,smote_enn,0.9507111489807956,0.9317872737665,0.018923875214295616,False,True,,,random_forest
vowel0,decision_tree,7,smote_enn,none,0.955700761934938,0.949583476852029,0.006117285082908985,False,False,,,random_forest
wisconsin,decision_tree,7,none,smote_enn,0.953291215956496,0.9469512065958534,0.006340009360642607,False,True,,,random_forest
yeast1,decision_tree,7,none,smote_enn,0.6783822319268029,0.6692266519486466,0.009155579978156303,False,True,,,random_forest
