dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,xgboost,7,smote_enn,ros,0.9899488304093568,0.9849695975951356,0.004979232814221191,False,False,-0.31524416249564025,-0.2817180849095055,random_forest
glass1,xgboost,7,ros,smote_enn,0.8275665939899517,0.733424213223024,0.09414238076692771,False,True,-0.1785714285714286,-0.14285714285714288,random_forest
haberman,xgboost,7,smote_enn,ros,0.6397174254317111,0.557703783267693,0.08201364216401807,False,False,-0.6785714285714287,-0.4285714285714286,random_forest
iris0,xgboost,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,random_forest
page-blocks0,xgboost,7,none,ros,0.9305993992368964,0.9292832961964628,0.0013161030404336138,False,False,0.6071428571428572,0.5238095238095238,random_forest
pima,xgboost,7,none,ros,0.7361390827659384,0.7333994545003719,0.002739628265566507,False,False,0.0,0.04761904761904762,random_forest
segment0,xgboost,7,none,ros,0.992910361224468,0.9920342467565786,0.0008761144678893773,False,True,0.7387687194103584,0.5855400437691199,random_forest
shuttle-c0-vs-c4,xgboost,6,none|ros|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,0.7745966692414834,0.7453559924999299,random_forest
vehicle2,xgboost,7,ros,smote_enn,0.9815166808677984,0.9664111226611228,0.015105558206675584,False,False,-0.14285714285714288,-0.23809523809523814,random_forest
vowel0,xgboost,7,adasyn,ros,0.9850906182564474,0.9755506062855728,0.009540011970874618,False,False,0.198206241793023,0.09759000729485331,random_forest
wisconsin,xgboost,7,smote_enn,ros,0.9680009744944807,0.9615290738063498,0.0064719006881309715,False,False,-0.41443123283995714,-0.29277002188455997,random_forest
yeast1,xgboost,7,smote_tomek,none,0.7104116832431071,0.6963947375929667,0.014016945650140444,False,False,0.0,-0.04761904761904762,random_forest
